1,3,500,10
2,1,280,20
3,6,290,30
4,1,290,40
5,9,430,50
6,10,430,20
7,10,400,60
8,8,270,80
9,7,540,90
10,4,390,10
11,10,340,10
12,1,400,10
13,7,330,10
14,6,500,10
15,2,200,10
16,7,300,10
17,10,310,10
18,8,320,10
19,8,110,10
20,3,490,20
21,10,410,20
22,7,460,20
23,8,490,20
24,6,430,20
25,10,200,20
26,9,420,20
27,2,360,20
28,8,190,20
29,9,120,20
30,9,60,30
31,8,470,30
32,10,380,30
33,2,360,30
34,1,310,30
35,6,320,30
36,7,520,30
37,2,400,30
38,10,570,30
39,3,170,30
40,2,80,40
41,6,390,40
42,8,520,40
43,1,310,40
44,5,300,40
45,2,240,40
46,3,370,40
47,2,150,40
48,8,160,40
49,4,130,40
50,8,260,50
51,1,160,50
52,4,240,50
53,1,580,50
54,5,80,50
55,5,110,50
56,7,390,50
57,2,460,50
58,9,110,50
59,7,280,50
60,10,120,20
61,6,330,20
62,9,70,20
63,1,390,20
64,8,260,20
65,9,370,20
66,8,470,20
67,4,480,20
68,8,320,20
69,7,430,20
70,10,70,60
71,2,360,60
72,4,220,60
73,1,480,60
74,9,360,60
75,9,80,60
76,3,240,60
77,8,390,60
78,4,150,60
79,1,570,60
80,1,350,80
81,10,350,80
82,2,40,80
83,1,130,80
84,2,120,80
85,1,380,80
86,4,510,80
87,4,110,80
88,10,220,80
89,8,380,80
90,9,550,90
91,10,410,90
92,7,190,90
93,7,510,90
94,5,160,90
95,1,40,90
96,5,330,90
97,3,350,90
98,6,420,90
99,8,540,90
100,5,410,10
101,5,420,10
102,7,260,10
103,7,330,10
104,3,200,10
105,2,270,10
106,3,160,10
107,9,220,10
108,10,430,10
109,5,260,10
110,7,470,10
111,3,50,10
112,7,240,10
113,7,580,10
114,4,320,10
115,7,390,10
116,6,440,10
117,1,260,10
118,3,120,10
119,2,190,10
120,5,80,10
121,1,300,10
122,2,140,10
123,10,420,10
124,1,40,10
125,1,560,10
126,4,230,10
127,3,500,10
128,7,430,10
129,8,80,10
130,8,300,10
131,9,540,10
132,9,110,10
133,9,560,10
134,4,140,10
135,2,370,10
136,1,360,10
137,1,280,10
138,6,570,10
139,1,270,10
140,4,70,10
141,4,570,10
142,10,60,10
143,7,250,10
144,2,150,10
145,2,230,10
146,1,130,10
147,8,470,10
148,6,500,10
149,6,200,10
150,4,440,10
151,10,410,10
152,4,60,10
153,1,330,10
154,7,580,10
155,10,420,10
156,5,570,10
157,4,400,10
158,6,280,10
159,4,450,10
160,2,80,10
161,6,440,10
162,5,360,10
163,8,310,10
164,10,160,10
165,9,380,10
166,1,460,10
167,5,320,10
168,9,140,10
169,9,80,10
170,2,330,10
171,6,320,10
172,6,290,10
173,8,460,10
174,6,310,10
175,5,530,10
176,2,460,10
177,7,110,10
178,6,540,10
179,1,180,10
180,10,40,10
181,1,470,10
182,2,160,10
183,8,300,10
184,6,160,10
185,6,100,10
186,10,190,10
187,2,160,10
188,5,130,10
189,3,440,10
190,8,350,10
191,2,360,10
192,2,340,10
193,6,410,10
194,7,130,10
195,4,260,10
196,8,250,10
197,9,540,10
198,7,50,10
199,9,60,10
200,2,230,20
201,6,230,20
202,8,310,20
203,7,200,20
204,6,160,20
205,7,180,20
206,3,320,20
207,4,540,20
208,9,370,20
209,8,420,20
210,3,100,20
211,8,260,20
212,10,340,20
213,3,560,20
214,2,290,20
215,2,310,20
216,10,400,20
217,5,510,20
